ID,year,month,mean,lon,lat
2,2004,6,38.40909091,-93.098755,34.179278
2,2004,7,38.25806452,-93.098755,34.179278
2,2004,8,42.6,-93.098755,34.179278
2,2005,6,53.63333333,-93.098755,34.179278
2,2005,7,51.29032258,-93.098755,34.179278
2,2005,8,52.83870968,-93.098755,34.179278
2,2006,6,48.5,-93.098755,34.179278
2,2006,7,47.70967742,-93.098755,34.179278
2,2006,8,47.73333333,-93.098755,34.179278
2,2007,6,40.1,-93.098755,34.179278
2,2007,7,36.29032258,-93.098755,34.179278
2,2007,8,46.9,-93.098755,34.179278
2,2008,6,36.06896552,-93.098755,34.179278
2,2008,7,40.90322581,-93.098755,34.179278
2,2008,8,-9999,-93.098755,34.179278
2,2009,6,40.7,-93.098755,34.179278
2,2009,7,38.06451613,-93.098755,34.179278
2,2009,8,37.44827586,-93.098755,34.179278
2,2010,6,35.73333333,-93.098755,34.179278
2,2010,7,32.61290323,-93.098755,34.179278
2,2010,8,47.68965517,-93.098755,34.179278
2,2011,6,-9999,-93.098755,34.179278
2,2011,7,-9999,-93.098755,34.179278
2,2011,8,51.26315789,-93.098755,34.179278
2,2012,6,50.9047619,-93.098755,34.179278
2,2012,7,-9999,-93.098755,34.179278
2,2012,8,50.29411765,-93.098755,34.179278
2,2013,6,38.96,-93.098755,34.179278
2,2013,7,44.88235294,-93.098755,34.179278
2,2013,8,-9999,-93.098755,34.179278
2,2014,6,29.86666667,-93.098755,34.179278
2,2014,7,35.19354839,-93.098755,34.179278
2,2014,8,36,-93.098755,34.179278
2,2015,6,34.5,-93.098755,34.179278
2,2015,7,33.21052632,-93.098755,34.179278
2,2015,8,45.33333333,-93.098755,34.179278
2,2016,6,38.86206897,-93.098755,34.179278
2,2016,7,33.72413793,-93.098755,34.179278
2,2016,8,30.53846154,-93.098755,34.179278
3,1990,6,56.4137931,-112.183575,36.058642
3,1990,7,54.03225806,-112.183575,36.058642
3,1990,8,50.51612903,-112.183575,36.058642
3,1991,6,55.96666667,-112.183575,36.058642
3,1991,7,49.33333333,-112.183575,36.058642
3,1991,8,49.25806452,-112.183575,36.058642
3,1992,6,59.13333333,-112.183575,36.058642
3,1992,7,47.90322581,-112.183575,36.058642
3,1992,8,52.46666667,-112.183575,36.058642
3,1993,6,57.03333333,-112.183575,36.058642
3,1993,7,45.22580645,-112.183575,36.058642
3,1993,8,49.5862069,-112.183575,36.058642
3,1994,6,53.24137931,-112.183575,36.058642
3,1994,7,56.24137931,-112.183575,36.058642
3,1994,8,51,-112.183575,36.058642
3,1995,6,57.86666667,-112.183575,36.058642
3,1995,7,56.66666667,-112.183575,36.058642
3,1995,8,55.70967742,-112.183575,36.058642
3,1996,6,59.27586207,-112.183575,36.058642
3,1996,7,56.4137931,-112.183575,36.058642
3,1996,8,55.46666667,-112.183575,36.058642
3,1997,6,58.9,-112.183575,36.058642
3,1997,7,52.23333333,-112.183575,36.058642
3,1997,8,49.33333333,-112.183575,36.058642
3,1998,6,59.93333333,-112.183575,36.058642
3,1998,7,58.24137931,-112.183575,36.058642
3,1998,8,56.19354839,-112.183575,36.058642
3,1999,6,57.93333333,-112.183575,36.058642
3,1999,7,50.76666667,-112.183575,36.058642
3,1999,8,52.34482759,-112.183575,36.058642
3,2000,6,56.10344828,-112.183575,36.058642
3,2000,7,56.90322581,-112.183575,36.058642
3,2000,8,60.10344828,-112.183575,36.058642
3,2001,6,57.75862069,-112.183575,36.058642
3,2001,7,52.48387097,-112.183575,36.058642
3,2001,8,53.51724138,-112.183575,36.058642
3,2002,6,66.1,-112.183575,36.058642
3,2002,7,59.70967742,-112.183575,36.058642
3,2002,8,57.66666667,-112.183575,36.058642
3,2003,6,62.33333333,-112.183575,36.058642
3,2003,7,62.61290323,-112.183575,36.058642
3,2003,8,56.46666667,-112.183575,36.058642
3,2004,6,57.73333333,-112.183575,36.058642
3,2004,7,58.16666667,-112.183575,36.058642
3,2004,8,53.3,-112.183575,36.058642
3,2005,6,60.62068966,-112.183575,36.058642
3,2005,7,61.06896552,-112.183575,36.058642
3,2005,8,49.41935484,-112.183575,36.058642
3,2006,6,63.3,-112.183575,36.058642
3,2006,7,60.06666667,-112.183575,36.058642
3,2006,8,51.29032258,-112.183575,36.058642
3,2007,6,58.13793103,-112.183575,36.058642
3,2007,7,56.12903226,-112.183575,36.058642
3,2007,8,55.76666667,-112.183575,36.058642
3,2008,6,57.79310345,-112.183575,36.058642
3,2008,7,54.19354839,-112.183575,36.058642
3,2008,8,50.86666667,-112.183575,36.058642
3,2009,6,52.46666667,-112.183575,36.058642
3,2009,7,53.70967742,-112.183575,36.058642
3,2009,8,55,-112.183575,36.058642
3,2010,6,56.86666667,-112.183575,36.058642
3,2010,7,52.51612903,-112.183575,36.058642
3,2010,8,47.61290323,-112.183575,36.058642
3,2011,6,63.46666667,-112.183575,36.058642
3,2011,7,52.4516129,-112.183575,36.058642
3,2011,8,54.36666667,-112.183575,36.058642
3,2012,6,56.4,-112.183575,36.058642
3,2012,7,54.3,-112.183575,36.058642
3,2012,8,52.4516129,-112.183575,36.058642
3,2013,6,53.46666667,-112.183575,36.058642
3,2013,7,53.71428571,-112.183575,36.058642
3,2013,8,48.29032258,-112.183575,36.058642
3,2014,6,55.43333333,-112.183575,36.058642
3,2014,7,47.51612903,-112.183575,36.058642
3,2014,8,47.93333333,-112.183575,36.058642
3,2015,6,56.93333333,-112.183575,36.058642
3,2015,7,45.32258065,-112.183575,36.058642
3,2015,8,48.1,-112.183575,36.058642
3,2016,6,53.26666667,-112.183575,36.058642
